NormalActuate,AlertActuate,CriticalActuate
4.553,6.623,9.668
4.724,6.809,9.714
5.273,6.662,10.281
4.637,6.752,9.849
5.087,6.17,10.286
4.914,7.406,10.158
5.79,7.382,10.482
5.094,6.983,10.202
4.489,5.955,8.952
6.473,8.392,11.758
6.91,8.743,11.748
6.308,7.986,10.872
6.626,8.287,11.234
6.888,8.619,11.392
6.673,8.641,11.28
6.866,8.936,11.764
8.245,11.333,13.804
8.607,11.781,13.435
5.56,7.185,10.295
5.034,6.588,9.671
6.176,6.658,11.189
4.897,7.71,9.088
4.846,6.666,9.755
5.241,7.213,10.698
4.153,6.588,10.593
5.52,7.793,10.381
5.085,6.358,9.676
4.004,6.557,10.271
5.192,6.149,9.589
6.051,6.895,9.575
5.45,7.123,10.869
6.024,6.731,10.018
5.544,6.683,11.33
4.942,7.671,10.159
5.252,6.646,9.301
5.9,7.28,10.361
4.966,8.087,15.531
6.082,6.584,10.585
5.381,6.727,11.619
5.938,7.515,10.592
4.82,8.312,11.472
4.33,7.432,10.535
5.162,6.807,10.145
7.155,7.641,10.515
5.059,7.502,10.536
6.03,8.516,10.04
4.988,7.11,9.339
4.681,7.677,9.683
6.122,5.814,10.218
5.655,6.888,10.056
